employee_key,employee_code,full_name,role,hire_date,exit_date,employment_status,tenure_band,is_new_hire_in_period,current_team_id,manager_code,country_code,department_code
42,REP-034,Aisha Osman,Sales Representative,2018-07-10,,Active,4y+,0,T04,MGR-04,SA,ENT
43,REP-035,Yasmin Al-Maamari,Sales Representative,2022-10-29,,Active,2-4y,0,T04,MGR-04,SA,ENT
44,REP-036,Sultan Al-Maamari,Sales Representative,2023-06-07,2024-05-18,Exited,6-12m,0,T04,MGR-04,SA,ENT
45,REP-037,Youssef Shawky,Sales Representative,2023-07-30,,Active,2-4y,0,T04,MGR-04,SA,ENT
46,REP-038,Majid Al-Kindi,Sales Representative,2019-08-20,,Active,4y+,0,T05,MGR-05,SA,SME
47,REP-039,Muna Al-Mazrouei,Sales Representative,2019-07-08,,Active,4y+,0,T05,MGR-05,SA,SME
48,REP-040,Hamad Al-Busaidi,Sales Representative,2021-09-04,,Active,4y+,0,T05,MGR-05,SA,SME
49,REP-041,Bilal Al-Shehri,Sales Representative,2023-02-22,2024-08-23,Exited,1-2y,0,T05,MGR-05,SA,SME
50,REP-042,Shahd Shawky,Sales Representative,2019-06-02,2025-09-21,Exited,4y+,0,T05,MGR-05,SA,SME
51,REP-043,Mariam Al-Mutairi,Sales Representative,2023-05-09,,Active,2-4y,0,T05,MGR-05,SA,SME
52,REP-044,Maha Lotfy,Sales Representative,2018-03-30,,Active,4y+,0,T05,MGR-05,SA,SME
53,REP-045,Mahmoud Farouk,Sales Representative,2023-02-04,,Active,2-4y,0,T05,MGR-05,SA,SME
54,REP-046,Hassan Al-Maamari,Sales Representative,2023-05-02,,Active,2-4y,0,T05,MGR-05,SA,SME
55,REP-047,Rashid Al-Rawahi,Sales Representative,2023-01-25,,Active,2-4y,0,T05,MGR-05,SA,SME
56,REP-048,Nasser Gamal,Sales Representative,2022-05-31,,Active,2-4y,0,T06,MGR-06,AE,ENT
57,REP-049,Walid Al-Ketbi,Sales Representative,2021-06-28,,Active,4y+,0,T07,MGR-07,AE,CHN
58,REP-050,Shahd Al-Hinai,Sales Representative,2018-04-30,,Active,4y+,0,T06,MGR-06,AE,ENT
59,REP-051,Faisal Al-Dosari,Sales Representative,2020-01-30,,Active,4y+,0,T06,MGR-06,AE,ENT
60,REP-052,Youssef Taha,Sales Representative,2020-06-10,2024-02-19,Exited,2-4y,0,T06,MGR-06,AE,ENT
61,REP-053,Ali Al-Mazrouei,Sales Representative,2018-02-12,2025-04-24,Exited,4y+,0,T06,MGR-06,AE,ENT
62,REP-054,Mariam Adly,Sales Representative,2023-02-21,,Active,2-4y,0,T06,MGR-06,AE,ENT
63,REP-055,Nour Fathy,Sales Representative,2020-05-02,,Active,4y+,0,T06,MGR-06,AE,ENT
64,REP-056,Youssef Rizk,Sales Representative,2018-11-08,,Active,4y+,0,T06,MGR-06,AE,ENT
65,REP-057,Muna Al-Maamari,Sales Representative,2020-10-31,,Active,4y+,0,T07,MGR-07,AE,CHN
66,REP-058,Muna Shawky,Sales Representative,2019-03-19,2025-01-17,Exited,4y+,0,T07,MGR-07,AE,CHN
67,REP-059,Noura Al-Mutairi,Sales Representative,2018-01-29,2025-02-21,Exited,4y+,0,T07,MGR-07,AE,CHN
68,REP-060,Samir Lotfy,Sales Representative,2022-03-09,,Active,2-4y,0,T07,MGR-07,AE,CHN
69,REP-061,Hussein Mansour,Sales Representative,2021-05-30,,Active,4y+,0,T07,MGR-07,AE,CHN
70,REP-062,Hussein Barakat,Sales Representative,2021-04-15,2024-04-23,Exited,2-4y,0,T07,MGR-07,AE,CHN
71,REP-063,Aisha Al-Mazrouei,Sales Representative,2023-01-27,,Active,2-4y,0,T07,MGR-07,AE,CHN
72,REP-064,Youssef Mansour,Sales Representative,2018-10-17,2024-02-27,Exited,4y+,0,T07,MGR-07,AE,CHN
73,REP-065,Lama Al-Rawahi,Sales Representative,2022-01-16,,Active,2-4y,0,T08,MGR-08,OM,SME
74,REP-066,Faisal Al-Otaibi,Sales Representative,2021-02-16,,Active,4y+,0,T08,MGR-08,OM,SME
75,REP-067,Nasser Naguib,Sales Representative,2020-11-14,,Active,4y+,0,T08,MGR-08,OM,SME
76,REP-068,Hassan Al-Rawahi,Sales Representative,2020-11-08,2025-02-22,Exited,4y+,0,T08,MGR-08,OM,SME
77,REP-069,Yasmin Youssef,Sales Representative,2019-10-03,2024-04-18,Exited,4y+,0,T08,MGR-08,OM,SME
78,REP-070,Rana Sabry,Sales Representative,2024-05-09,,Active,1-2y,1,T04,MGR-04,SA,ENT
79,REP-071,Saif Fathy,Sales Representative,2024-05-09,,Active,1-2y,1,T07,MGR-07,AE,CHN
80,REP-072,Bilal Al-Ketbi,Sales Representative,2024-06-05,,Active,1-2y,1,T06,MGR-06,AE,ENT
81,REP-073,Saif Nasr,Sales Representative,2024-06-04,,Active,1-2y,1,T06,MGR-06,AE,ENT
82,REP-074,Nasser Al-Balushi,Sales Representative,2024-07-09,,Active,1-2y,1,T08,MGR-08,OM,SME
83,REP-075,Farah Osman,Sales Representative,2024-09-03,,Active,1-2y,1,T04,MGR-04,SA,ENT
84,REP-076,Karim Zaki,Sales Representative,2024-11-12,,Active,1-2y,1,T05,MGR-05,SA,SME
85,REP-077,Saud Fathy,Sales Representative,2024-12-02,,Active,1-2y,1,T02,MGR-02,EG,SME
86,REP-078,Rashid Adly,Sales Representative,2025-01-10,,Active,6-12m,1,T02,MGR-02,EG,SME
87,REP-079,Tarek Al-Hinai,Sales Representative,2025-01-03,,Active,6-12m,1,T02,MGR-02,EG,SME
88,REP-080,Rana Al-Shehri,Sales Representative,2025-01-01,,Active,6-12m,1,T08,MGR-08,OM,SME
89,REP-081,Fahad Sabry,Sales Representative,2025-01-04,,Active,6-12m,1,T08,MGR-08,OM,SME
90,REP-082,Sara Al-Zahrani,Sales Representative,2025-02-06,,Active,6-12m,1,T01,MGR-01,EG,ENT
91,REP-083,Fahad Al-Harbi,Sales Representative,2025-03-12,,Active,6-12m,1,T07,MGR-07,AE,CHN
92,REP-084,Walid Rizk,Sales Representative,2025-03-01,,Active,6-12m,1,T08,MGR-08,OM,SME
93,REP-085,Walid Al-Harbi,Sales Representative,2025-04-07,,Active,6-12m,1,T04,MGR-04,SA,ENT
94,REP-086,Mahmoud Zaki,Sales Representative,2025-04-08,,Active,6-12m,1,T07,MGR-07,AE,CHN
95,REP-087,Adel Haddad,Sales Representative,2025-05-08,,Active,6-12m,1,T03,MGR-03,EG,CHN
96,REP-088,Karim Al-Ketbi,Sales Representative,2025-05-06,,Active,6-12m,1,T06,MGR-06,AE,ENT
97,REP-089,Nasser Fathy,Sales Representative,2025-05-12,,Active,6-12m,1,T07,MGR-07,AE,CHN
98,REP-090,Shahd Zaki,Sales Representative,2025-05-08,,Active,6-12m,1,T08,MGR-08,OM,SME
99,REP-091,Huda Naguib,Sales Representative,2025-07-01,,Active,6-12m,1,T06,MGR-06,AE,ENT
100,REP-092,Reem Al-Ketbi,Sales Representative,2025-07-04,,Active,0-6m,1,T07,MGR-07,AE,CHN
101,REP-093,Hana Youssef,Sales Representative,2025-09-11,,Active,0-6m,1,T03,MGR-03,EG,CHN
102,REP-094,Rashid Al-Dosari,Sales Representative,2025-10-11,,Active,0-6m,1,T06,MGR-06,AE,ENT
103,REP-095,Sultan Adly,Sales Representative,2025-11-05,,Active,0-6m,1,T03,MGR-03,EG,CHN
104,REP-096,Hussein Hassan,Sales Representative,2025-12-10,,Active,0-6m,1,T05,MGR-05,SA,SME
